SquareFootage,Price,MarketDemandScore,SoldWithin30Days
1360,214206,3,0
4272,672318,7,0
3592,571161,9,1
966,178319,4,0
4926,771303,1,0
3944,619741,2,0
3671,575470,1,0
3419,529224,5,0
630,106178,5,0
2185,371577,7,1
1269,216548,9,1
2891,453564,9,1
2933,477840,3,0
1684,284899,3,0
3885,595443,3,0
4617,732017,4,0
3404,550323,8,1
974,159727,6,1
1582,273239,8,1
3058,490534,1,0
2547,410097,8,1
3247,523155,4,0
1475,241480,1,0
2306,371607,8,1
689,135326,4,0
3234,518876,6,1
3505,565830,8,1
2399,371156,4,0
1767,281826,3,0
2028,341451,9,1
3702,574774,3,0
4056,640359,9,0
4390,674030,2,0
1146,211220,2,0
3388,521948,2,0
2935,482218,6,1
1100,207562,3,0
2863,452995,9,1
2561,394813,4,0
741,155916,1,0
2541,399144,4,0
3324,536621,1,0
3112,507103,5,0
1863,292754,4,0
1978,346053,8,1
3056,486075,8,1
1275,225188,7,1
4514,710764,3,0
534,91736,1,0
3652,577880,1,0
2455,405978,3,0
2085,349486,6,1
4443,705123,7,0
3573,583455,6,1
1521,239004,6,1
3961,628698,6,0
3113,515573,3,0
4343,668842,6,0
2000,331556,8,1
661,147709,2,0
4797,755859,5,0
2481,404069,1,0
1495,239181,1,0
3842,619270,5,0
4298,667388,3,0
1775,301592,4,0
1516,274557,3,0
837,137877,1,0
1378,216897,1,0
1576,269909,5,0
4493,718648,6,0
879,156937,3,0
992,181471,9,1
2562,419484,5,0
4384,695448,8,0
564,115266,1,0
3068,485908,5,0
2527,415420,3,0
3195,492061,1,0
1995,315796,4,0
891,178404,5,0
4974,786306,7,0
4061,630561,1,0
2778,429611,3,0
3599,551584,2,0
700,133227,9,1
3604,559280,6,1
2954,472460,3,0
4145,650093,8,0
1304,211359,8,1
3231,517728,2,0
3273,536103,6,1
2070,331611,7,1
3190,526004,2,0
4340,662802,2,0
1528,247355,1,0
1002,168420,8,1
4993,798334,1,0
1370,237418,9,1
4988,778645,6,0
